69,69
1boy,1个男孩
1girl,1个女孩
about_to_be_raped,即将挨操
absurdres,超高分辨率
adjusting_thighhigh,拉扯丝袜
ahoge,动画风格呆毛
album,专辑
all_fours,四肢着地
anal_beads,肛门拉珠
anal_fisting,肛门拳交
anal_insertion,插入肛门
angel,天使
animated_gif,gif
apron,围裙
areolae,乳晕
arm_support,撑臂
armlet,金属臂环
armpit,腋
arms_behind_back,背手站立
arms_crossed,手交叉于胸前
arms_up,双手高举
aroused,发情
arrow,箭
artificial_vagina,仿生阴道
artist_request,作者未知
ass,屁股
babydoll,薄纱睡裙
back,背影
back-to-back,背靠背
bad_id,ID转向错误(原地址或已被删除)
ballgag,球塞
bandage,绷带
bandaid,创可贴
bangs,刘海
bat_wings,蝙蝠翅膀
bell,铃铛
belt,皮带
bent_over,撅屁股
beret,贝雷帽
bestiality,兽交
bike_shorts,骑行短裤
bikini,比基尼
bitgag,棍塞
black_eyes,黑眼
black_hair,黑发
black_thighhighs,黑色过膝袜
blonde_hair,金发
blood,鲜血元素
bloomers,传统灯笼裤
blue_eyes,蔚蓝眼瞳
blue_hair,蓝发
blunt_bangs,齐刘海
blush,面颊绯红
body_writing,身体彩绘文字
bondage,束缚系
bound_arms,手臂捆绑
bound_wrists,腕部束缚
bra,文胸
bracelet,细链手镯
braid,发辫
breast_feeding,喂奶（小）
breast_grab,摸乳
breast_smother,面部埋胸
breast_sucking,吸乳
brown_eyes,琥珀色瞳孔
brown_hair,栗色头发
building,建筑物
bunny_ears,兔耳
business_suit,商务正装
bust,半身像
butterfly_wings,蝴蝶翅膀
buttjob,臀交
cake,蛋糕
camera,相机
cane,手杖
cape,短款披风
caramelldansen,某著名伸手扭腰动作
cat_ears,猫耳
cat_pose,猫爪手势
censored,打码处理
cervix,子宫口
chains,锁链
chair,椅子
cheerleader,啦啦队服
cherry_blossoms,樱花飘落
chibi,Q版形象
chinadress,旗袍
Chinese,中文
chinese_clothes,中式服装
chopsticks,筷子
christmas,圣诞主题
cigarette,香烟
cleavage,乳沟
clitoris,阴蒂特写
cock_in_thighhigh,插在过膝袜里
cock_ring,屌环
collar,衣领
collarbone,锁骨特写
colorful,色彩斑斓的
comic,漫画风格
cosplay,COSPLAY
covr,封面
cowgirl_position,骑乘式女上位
crazy,狂气状态
cream,奶油
crease,起皱
cross-section,剖面透视
crotch_rope,股绳缚
crotch_rub,蹭裆
cuffs,手铐
cum_inside,内射
cum_on_breast,射在胸上
cum_on_food,射在食物上
cum_on_hair,发间精液
cunnilingus,舔阴行为
curly_hair,卷发
curtsy,屈膝礼
dagger,短刃
dakimakura,抱枕
dark,暗色调
dark_persona,黑化人格
deepthroat,深喉行为
devil,魔鬼（撒旦）
diaper,尿布装
dildo,按摩棒
dog_ears,犬耳特征
double_anal,双重爆菊
double_dildo,双头龙
double_penetration,双穴插入
double_vaginal,双重入穴
dress,连衣裙
drill_hair,钻头螺旋卷发
drunk,醉酒状态
earrings,耳环
egg_vibrator,跳蛋
endured_face,忍耐的表情
enema,灌肠
English,英文
expressionless,无表情
expressions,多表情展示
eyelid_pull,鬼脸扯眼皮
eyepatch,独眼眼罩
eyes_closed,闭眼
faceless_male,无面男体
facepaint,面彩
facesitting,坐在脸上
facial,面部射精特写
fangs,尖牙（兽人特徵）
fellatio,主动口交行为
female,女性
female_ejaculation,潮吹
fetal_position,胎儿蜷缩姿势
fine_art_parody,名画戏仿
finger_gun,手枪手势
fingerless_gloves,露指手套
fingersmile,手指笑脸
fishnet_pantyhose,鱼网连裤袜
fishnet_stockings,渔网袜
fisting,拳头插入
flower_petals,花瓣
foot,脚
footjob,足交
forest,森林场景
fox_ears,狐耳特征
French,法文
frogtie,蛙式捆绑
frown,蹙眉表情
fruit_insertion,用水果蔬菜
full_moon,满月场景
gag,口塞
game_cg,游戏CG
gangbang,轮奸
giantess,女巨人
girl_on_top,跨坐式女上位
gloves,手套
goggles,护目风镜
gohei,御币
gokkun,饮精
gothic,哥特风格
gothic_lolita,哥特洛丽塔
gradient_background,渐变背景
green_eyes,绿色眼眸
green_hair,绿发
grey_eye,灰眼
grey_hair,灰发
grin,咧嘴笑
guitar,吉他
gun,枪支
guro,猎奇
gym_uniform,运动校服
hair_ribbon,缎带发饰
hairband,发箍
hairclip,发夹
hairjob,发交
halloween,万圣节主题
halo,神圣光环
hand_to_mouth,手放在嘴边
handcuffs,手铐道具
handgun,手枪
handjob,手交动作
happy_sex,愉悦性爱
harem,后宫场景
have_to_pee,憋尿状态
heterochromia,虹膜异色
high_heels,高跟鞋
highres,高分辨率
hime_cut,姬发式发型
himopan,系带式内裤
hips,臀部
hitachi_magic_wand,震动按摩棒
hogtie,四马攒蹄绑法
holding,手持状态
holding_hands,牵手互动
hood,连帽设计
horns,兽角特征
hreesome,3P
hug,拥抱互动
huge_ass,肥臀
huge_filesize,超级高分辨率/大文件
incest,血缘乱伦
incredibly_absurdres,极高分辨率
insertion,插入物
Japanese,日本人
knee_boots,过膝长靴
kneeling,跪姿
kneepits,膝窝
lantern,提灯
lap_pillow,膝枕
leash,项圈牵引绳
leg_hug,抱腿
legwear,裹腿
lips,嘴唇
loli,萝莉
long_hair,长发
long_sleeves,长袖
looking_at_viewer,直视观众
looking_back,回眸
loose_socks,泡泡袜
low_leg_panties,低腰式内裤
lowleg_panties,低腰内裤
lowres,低分辨率
maebari,乳贴
magic_circle,魔法阵纹
magical_girl,魔法少女
maid,女仆装束
maid_headdress,女仆头饰
male,男性
mary_janes,玛丽珍鞋款
masturbation,自慰
mermaid,美人鱼形象
messy_hair,凌乱蓬松发型
microphone,麦克风设备
midriff,露脐装束
miko,巫女装束
milf,熟女
mini_top_hat,迷你高顶帽
minigirl,迷你女孩
miniskirt,超短裙款
missionary,传教士体位
molestation,性骚扰情节
monochrome,单色画面
monster,怪物形象
mound_of_venus,腹部三角带
mouse_ears,鼠耳装饰
multiple_insertions,一穴多插
muscle,肌肉
naked,淫荡裸体
naked_apron,真空围裙
naked_cape,裸披风
naked_overalls,裸体工装裤
naked_ribbon,裸体缎带
naked_shirt,裸穿衬衫
naughty_face,色气表情
navel,肚脐特写
necklace,项链饰品
necktie,领带造型
nipple_pull,扯乳头动作
nipple_suck,吸乳（中）
nipple_torture,虐乳头
nipples,乳头刻画
no_bra,无胸罩状态
nosebleed,鼻血喷涌
nude,艺术裸体
nun,修女装束
nurse_cap,护士帽
nyotaimori,女体盛
obento,便当
ocean,海洋场景
ofuda,御守符咒
on_stomach,趴伏姿势
open_clothes,衣襟敞开
open_robe,敞袍造型
optical_illusion,视觉错误
oral,广义口交行为
original,原创
paizuri,乳交
pajamas,睡衣套装
panty_gag,用内裤塞口
panty_pull,下拉内裤
pantyhose,连裤袜
pantyshot,内裤走光
payot,长鬓角
pegging,女性使用假屌
penetration,异物插入
pentagram,五角星图案
personification,拟人化
photo,照片
piano,钢琴元素
pillory,枷锁
pink_thighhighs,粉色过膝袜
pleated_skirt,百褶短裙
pointy_ears,尖耳朵
ponytail,高扎马尾发型
pregnant,怀孕状态
princess_carry,公主抱姿势
profile,侧身画像
pubic_hair,阴毛
purple_eyes,紫色瞳色
purple_hair,紫色头发
real,真实
red_eyes,红瞳
red_hair,红发
reverse_cowgirl,女上反骑
ring_gag,扩口器
robe,法袍
rolleyes,眼球上翻
rope,绳索
ruins,遗迹场景
sad,悲伤表情
sailor_collar,水手领
sake,清酒
saliva,垂涎
salute,敬礼姿势
santa,圣诞装
scarf,围巾
school_uniform,学生制服
seiza,正坐姿势
serafuku,日式水手服
shaved_pussy,剃过阴毛的（无毛B）
short_hair,短发
short_ponytail,短马尾
shorts,短裤
shota,正太角色
shy,羞涩低头神态
siblings,兄弟姐妹
side_ponytail,侧马尾
silhouette,剪影
silver_eyes,银眼
silver_hair,银发
sisters,姐妹关系
sitting,坐着
sketch,速写草稿
skinny,纤瘦体型
skirt_lift,掀裙摆动态
slave,奴隶身份标识
sleeping,睡眠状态
slippers,室内拖鞋
slit_pupils,竖瞳
smelling,嗅闻动作
socks,短袜
solo,单人
spanked,掌掴臀部
stare,凝视
stockings,丝袜
stocks,枷锁
straddle,跨坐
striped_panties,条纹内裤
striped_socks,条纹短袜
striped_thighhighs,条纹过膝袜
suit,成套西装
summer_dress,夏日长裙
sunset,黄昏景象
swimsuit,泳装款式
symmetrical_hand_pose,手对手
tagme,图片有一些上传者未知的项目
tail,兽尾特征
taiyaki,鲷鱼烧点心
tamakeri,蛋疼
tan_lines,晒日线
tapegag,胶带封口
tartan,格子花纹
tattoo,皮肤纹身
teacup,陶瓷茶杯
tears,泪水描绘
tentacle,触手
thigh_gap,大腿间缝隙
thighhighs,过膝长袜
thighs,大腿部位描绘
thong,丁字裤
tiara,冠状头饰
tie,领带
toes,足趾特写
tongue,吐舌动作
top-down_bottom-up,伏首翘臀
torn_clothes,破损衣物
torn_thighhighs,破损过膝袜
traditional_media,传统艺术媒介
translation_request,翻译
trap,伪娘
trefoil,三叶草屁股花纹
tribadism,磨豆腐
triple_penetration,三穴同插
tsurime,吊梢眼
twin_braids,双麻花辫
twintails,双马尾发型
umbrella,雨伞
uncensored,无码版本
underwater_sex,水中做爱
underwear,内衣
undressing,脱衣过程
uniform,制服
valentine,情人节元素
vampire,吸血鬼角色
very_long_hair,及地长发
vibrator,震动玩具
vibrator_in_thighhighs,过膝袜内藏跳蛋开关
virgin,处女/破瓜
voyeurism,偷窥癖
waitress,女服务员
wakamezake,阴部倒酒
wallpaper,壁纸
wand,魔杖
watercolor_(medium),水彩画风
waving,挥手动作
wavy_hair,波浪卷发
weapons,武器
wedding_dress,婚纱礼服
western,西部风格
wet,湿身状态
what,什么
white_eyes,白眼（无瞳孔）
white_hair,银白发
white_panties,白色内裤
white_thighhighs,白色过膝袜
wide_hips,宽胯
wince,痛苦蹙眉
wine,葡萄酒
wink,眨眼
